index 0: info='{', parent=180, rightSibling=178
index 1: info='letInt', parent=2, rightSibling=-1
index 2: info='simple_type', parent=4, rightSibling=3
index 3: info='IDENTIFIER', parent=4, rightSibling=-1
index 4: info='primitive_declaration', parent=5, rightSibling=-1
index 5: info='declaration', parent=6, rightSibling=-1
index 6: info='simple_statement', parent=8, rightSibling=7
index 7: info=';', parent=8, rightSibling=-1
index 8: info='statement', parent=9, rightSibling=-1
index 9: info='statement_list', parent=18, rightSibling=17
index 10: info='letInt', parent=11, rightSibling=-1
index 11: info='simple_type', parent=13, rightSibling=12
index 12: info='IDENTIFIER', parent=13, rightSibling=-1
index 13: info='primitive_declaration', parent=14, rightSibling=-1
index 14: info='declaration', parent=15, rightSibling=-1
index 15: info='simple_statement', parent=17, rightSibling=16
index 16: info=';', parent=17, rightSibling=-1
index 17: info='statement', parent=18, rightSibling=-1
index 18: info='statement_list', parent=27, rightSibling=26
index 19: info='letInt', parent=20, rightSibling=-1
index 20: info='simple_type', parent=22, rightSibling=21
index 21: info='IDENTIFIER', parent=22, rightSibling=-1
index 22: info='primitive_declaration', parent=23, rightSibling=-1
index 23: info='declaration', parent=24, rightSibling=-1
index 24: info='simple_statement', parent=26, rightSibling=25
index 25: info=';', parent=26, rightSibling=-1
index 26: info='statement', parent=27, rightSibling=-1
index 27: info='statement_list', parent=36, rightSibling=35
index 28: info='read', parent=32, rightSibling=29
index 29: info='(', parent=32, rightSibling=30
index 30: info='IDENTIFIER', parent=32, rightSibling=31
index 31: info=')', parent=32, rightSibling=-1
index 32: info='read_statement', parent=33, rightSibling=-1
index 33: info='simple_statement', parent=35, rightSibling=34
index 34: info=';', parent=35, rightSibling=-1
index 35: info='statement', parent=36, rightSibling=-1
index 36: info='statement_list', parent=45, rightSibling=44
index 37: info='read', parent=41, rightSibling=38
index 38: info='(', parent=41, rightSibling=39
index 39: info='IDENTIFIER', parent=41, rightSibling=40
index 40: info=')', parent=41, rightSibling=-1
index 41: info='read_statement', parent=42, rightSibling=-1
index 42: info='simple_statement', parent=44, rightSibling=43
index 43: info=';', parent=44, rightSibling=-1
index 44: info='statement', parent=45, rightSibling=-1
index 45: info='statement_list', parent=54, rightSibling=53
index 46: info='read', parent=50, rightSibling=47
index 47: info='(', parent=50, rightSibling=48
index 48: info='IDENTIFIER', parent=50, rightSibling=49
index 49: info=')', parent=50, rightSibling=-1
index 50: info='read_statement', parent=51, rightSibling=-1
